Fido,Koodo Mobile,Virgin Mobile,Bell,TELUS,Rogers,Fido,Fido,Fido,Koodo Mobile,Fido,Rogers,TELUS,TELUS,Fido,Bell,Koodo Mobile,Bell,Fido,TELUS,Rogers,Rogers,Rogers,TELUS,TELUS,TELUS,Fido,Bell,Bell,Bell,Koodo Mobile,Bell,Fido,Virgin Mobile,Rogers,TELUS,TELUS,Rogers,Rogers,Fido,TELUS,TELUS,TELUS,Bell,Bell,Bell,Bell,Bell,Bell,TELUS,TELUS,Rogers,Rogers,TELUS,TELUS,TELUS,Rogers,TELUS,Bell,Bell,Virgin Mobile,Bell,Bell,Fido,Bell,Bell,TELUS,TELUS,TELUS,TELUS,Rogers,Rogers,TELUS,TELUS,TELUS,TELUS,TELUS,Bell,Bell,Bell,Rogers,TELUS,Bell,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,Rogers,TELUS,TELUS,Bell,Bell,TELUS,Rogers,TELUS,TELUS,Bell,Bell,Bell,TELUS,TELUS,TELUS,Bell,Rogers,Rogers,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,Rogers,Rogers,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,Virgin Mobile,Bell,Fido,Bell,Bell,TELUS,TELUS,TELUS,Bell,TELUS,TELUS,TELUS,Bell,TELUS,Bell,Bell,Bell,Bell,Bell,Bell,Fido,Koodo Mobile,Virgin Mobile,Bell,TELUS,Rogers,Fido,Fido,Fido,Koodo Mobile,Fido,Rogers,TELUS,TELUS,Fido,Bell,Koodo Mobile,Bell,Fido,TELUS,Rogers,Rogers,Rogers,TELUS,TELUS,TELUS,Fido,Bell,Bell,Bell,Koodo Mobile,Bell,Fido,Virgin Mobile,Rogers,TELUS,TELUS,Rogers,Rogers,Fido,TELUS,TELUS,TELUS,Bell,Bell,Bell,Bell,Bell,Bell,TELUS,TELUS,Rogers,Rogers,TELUS,TELUS,TELUS,Rogers,TELUS,Bell,Bell,Virgin Mobile,Bell,Bell,Fido,Bell,Bell,TELUS,TELUS,TELUS,TELUS,Rogers,Rogers,TELUS,TELUS,TELUS,TELUS,TELUS,Bell,Bell,Bell,Rogers,TELUS,Bell,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,Rogers,TELUS,TELUS,Bell,Bell,TELUS,Rogers,TELUS,TELUS,Bell,Bell,Bell,TELUS,TELUS,TELUS,Bell,Rogers,Rogers,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,Rogers,Rogers,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS,TELUS
Platinum 130,Limited Time Offer: Share | Premium Smartphone + 12 GB,Fido Pulse LARGE 10GB,Limited Time Offer: Share | Premium+ Smartphone + 12 GB,Limited Time Offer: Share | Premium Smartphone + 12 GB,Limited Time Offer: Your Choice - Smartphone | Local + 12 GB,Limited Time Offer: Your Choice - Smartphone | Nationwide + 12 GB,Limited Time Offer: Your Choice - Basic | Canada-US + 12 GB,Limited Time Offer: Share | Premium Smartphone + 12 GB,Limited Time Offer: Your Choice - Premium Plus | Nationwide + 12 GB,Limited Time Offer: Your Choice - Smartphone | Canada/US + 12 GB,Limited Time Offer: Your Choice - Premium Plus | Local + 12 GB,Limited Time Offer: Share | Premium+ Smartphone + 12 GB,Limited Time Offer: Your Choice - Premium Plus | Canada-US + 12 GB,Share | Premium Smartphone + 15 GB,Share | Premium Smartphone + 15 GB,Share | Premium+ Smartphone + 15 GB,Share | Premium+ Smartphone + 15 GB,Share | Premium Smartphone + 15 GB,Share | Premium+ Smartphone + 15 GB
Empty,$130.00,$125.00,$130.00,$135.00,$130.00,$125.00,$130.00,$130.00,$140.00,$140.00,$140.00,$135.00,$150.00,$150.00,$190.00,$185.00,$200.00,$195.00,$200.00,$210.00,Empty
Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Unlimited Canada-wide minutes Circle calling¹,Unlimited Canada-wide minutes myPeeps¹,Unlimited local calling,Unlimited Canada-wide minutes Circle calling¹,Unlimited local calling,Unlimited Canada calling,Unlimited local minutes,Unlimited nationwide minutes,"Unlimited calling to the U.S. from Canada, and while in the U.S.",Unlimited Canada &amp; U.S. calling,Unlimited nationwide minutes,"Unlimited calling to the U.S. from Canada, and while in the U.S.",Unlimited local minutes,Unlimited Canada &amp; U.S. calling,"Unlimited calling to the U.S. from Canada, and while in the U.S.",Unlimited Canada calling,Unlimited local calling,Unlimited Canada calling,Unlimited local calling,Unlimited Canada &amp; U.S. calling,Unlimited Canada &amp; U.S. calling,Unlimited Canada-wide minutes Circle calling¹
3 GB,10 GB, 10 GB changes to 12 GB + Unlimited Wi-Fi at Bell hotspots¹,10 GB   , 10 GB changes to 12 GB + Unlimited Wi-Fi at Bell hotspots¹, 10 GB changes to 12 GB + Unlimited Wi-Fi at Bell hotspots¹, 10 GB changes to 12 GB (shareable), 10 GB changes to 12 GB (shareable), 10 GB changes to 12 GB (shareable), 10 GB changes to 12 GB + Unlimited Wi-Fi at Bell hotspots¹, 10 GB changes to 12 GB (shareable), 10 GB changes to 12 GB (shareable), 10 GB changes to 12 GB (shareable),+ Unlimited Wi-Fi at Bell hotspots¹, 10 GB changes to 12 GB (shareable),15 GB + Unlimited Wi-Fi at Bell hotspots¹,15 GB + Unlimited Wi-Fi at Bell hotspots¹,15 GB + Unlimited Wi-Fi at Bell hotspots¹,15 GB + Unlimited Wi-Fi at Bell hotspots¹,15 GB + Unlimited Wi-Fi at Bell hotspots¹,+ Unlimited Wi-Fi at Bell hotspots¹,3 GB
Empty,Unlimited text &amp; picture messaging to Canada &amp; U.S.<br/>Includes international text messaging.,"Unlimited nationwide text, picture and video messages","Unlimited international text, picture and video messages sent from Canada","Unlimited nationwide text, picture and video messages","Unlimited nationwide text, picture and video messages","Unlimited nationwide text, picture and video messaging","Unlimited nationwide text, picture and video messaging","Unlimited text, picture and video messaging to the U.S. and while in the U.S. ",Unlimited Canada and U.S. wide texting<br/>Unlimited picture and video messages within Canada,"Unlimited nationwide text, picture and video messaging","Unlimited text, picture and video messaging to the U.S. and while in the U.S. ","Unlimited nationwide text, picture and video messaging",Unlimited Canada and U.S. wide texting<br/>Unlimited picture and video messages within Canada,"Unlimited text, picture and video messaging to the U.S. and while in the U.S. ","Unlimited nationwide text, picture and video messages","Unlimited nationwide text, picture and video messages","Unlimited nationwide text, picture and video messages","Unlimited nationwide text, picture and video messages",Unlimited Canada and U.S. wide texting<br/>Unlimited picture and video messages within Canada,Unlimited Canada and U.S. wide texting<br/>Unlimited picture and video messages within Canada,Empty
"6-month subscription to Spotify Premium.²<br/>Data Bytes - 1 hour, 5 times a month of free data",Empty,Not found,"6-month subscription to Spotify Premium.²<br/>Data Bytes - 1 hour, 5 times a month of free data",Not found,Not found,-,Empty,Not found,-,-,-,Not found,-,Not found,Not found,Not found,Not found,Not found,Not found,"6-month subscription to Spotify Premium.²<br/>Data Bytes - 1 hour, 5 times a month of free data"
Empty,"Voicemail 3, Call Display, Call Waiting &amp; 3-Way Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Fido Roam, Call Display, Voicemail, Call Waiting &amp; Conference Call.","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Voice Mail 25, call display, call waiting, conference calling and Easy Roam access","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling","Call Display, Message Centre, Call Waiting &amp; Conference Calling",Empty
Empty,$7 per 100 MB,7¢ per MB,$7 per 100 MB,7¢ per MB,7¢ per MB,"$5 per 100 MB for the first 1500 MB, 5¢ per MB thereafter","$5 per 100 MB for the first 1500 MB, 5¢ per MB thereafter","$5 per 100 MB for the first 1500 MB, 10¢ per MB thereafter",7¢ per MB,"$5 per 100 MB for the first 1500 MB, 5¢ per MB thereafter","$5 per 100 MB for the first 1500 MB, 5¢ per MB thereafter","$5 per 100 MB for the first 1500 MB, 5¢ per MB thereafter",7¢ per MB,"$5 per 100 MB for the first 1500 MB, 5¢ per MB thereafter",7¢ per MB,7¢ per MB,7¢ per MB,7¢ per MB,7¢ per MB,7¢ per MB,Empty
Empty,Monthly or 2 year,2 year,2 year,2 year,2 year,Monthly or 2 year,Monthly or 2 year,2 year,2 year,Monthly or 2 year,2 year,Monthly or 2 year,2 year,2 year,2 year,2 year,2 year,2 year,2 year,2 year,Empty
Empty,$25.00,$25.00,$25,$25.00,$25.00,-,Empty,$25.00,-,-,-,$25.00,-,$25.00,$25.00,$25.00,$25.00,$25.00,$25.00,Empty
